index,programa,radio,banda,ciudad,provincia,pais,inicio,duracion,usuario,reproducciones,etiquetas,titulo,descripcion,link
48,la-manana-con-victor-hugo,AM 750,AM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-13T12:32:55+00:00,236,ChristianAcosta,25,"buenos aires, enfermería, municipios, salud, sindicato, sitre",Victor Hugo Morales entrevista al Sec. General del SITRE Lic. Christian Acosta,El SITRE expone la situación actual de la enfermería en todo el país y especialmente en los municipios de la Provincia de Bs As.,https://radiocut.fm/audiocut/victor-hugo-morales-entrevista-al-sec-general-del-sitre-lic-christian-acosta
49,bichos-campo-1,Radio Argentina,AM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-10T13:05:23+00:00,1026,nicorazzetti,73,,Guillermo González Davis en Bichos de Campo 10-08-2024,Guillermo González Davis en Bichos de Campo 10-08-2024,https://radiocut.fm/audiocut/guillermo-gonzalez-davis-en-bichos-campo-10-08-2024
50,todos-en-cuero-1,FM La Patriada,FM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-14T15:23:01.315000+00:00,193,OscarY,6,"carlos barragán, todos en cuero en paternal",Apoyo a Cristina de Docente jubilada,En el Instituto Patria con reportaje de Carlos Barragan,https://radiocut.fm/audiocut/apoyo-a-cristina-docente-jubilada
51,camino-propio-con-ubaldo-kra,Radio Colonia,AM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-14T19:39:46+00:00,767,Javier1969,11,,Mariela Brandolin - Entrevista con Radio Colonia ,"En Colonia Agropecuaria, AM 550 radio Colonia, conversamos con Mariela Brandolin, consultora en mercado de granos e inversiones financieras, sobre la situación que reportan los valores de los commodities agrícolas, especialmente la soja tan sencible para la economía argentina.  ",https://radiocut.fm/audiocut/mariela-brandolin-entrevista-con-radio-colonia
52,marca-de-radio,La Red,AM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-10T13:07:23+00:00,1017,sodamanatico,1077,,Editorial Eduardo Aliverti 10/08/2024,"Argentina en la semana ""Alberto Fernández""",https://radiocut.fm/audiocut/editorial-eduardo-aliverti-10-08-2024
53,siempre-es-hoy-1,AM 530 - Somos Radio,AM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-13T14:01:57+00:00,238,somosradio,72,"juan luis gonzález, siempre es hoy, somos radio am 530",Columna de Juan Luis González,La habitual columna de #SiempreEsHoy,https://radiocut.fm/audiocut/columna-juan-luis-gonzalez-3
54,enredando-las-mananas_2,Radio Semilla,FM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-14T14:51:04+00:00,583,radiosemilla,15,"derecho a huelga, docentes, enredando las mañanas",Marcha Docente al Congreso x contra declaracion de ESENCIALES para quitarles derecho de HUELGA,"Móvil desde la protesta Docente frente al Congreso donde se pretende declarar a lxs docentes como ""esenciales"" a fin de elimarles sus derechos como trabajadoxs, principalmente el derecho a la huelga. Ernes de Radio Activa nos trae la vos de delegada del SUTEBA de Tigre.",https://radiocut.fm/audiocut/marcha-docente-al-congreso-x-contra-declaracion-esenciales-para-quitarles-derecho-huela
55,a-vuelta,Radio 2,AM,Rosario,Santa Fe,Argentina,2024-08-14T00:46:11+00:00,841,Rosario3,7,"cuidados, libros, usados",Festina Lente en A la vuelta ,"Hablamos con Maria Helena Otaño, mentora de esta libreria que desde 2016 compra libros usados, los pone en condiciones y los vende. ",https://radiocut.fm/audiocut/festina-lente-en-a-vuelta
56,una-nueva-aventura,AM 750,AM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-14T18:36:07+00:00,948,RadioAM750,13,,"Fernando Signorini, preparador de futbolistas para la alta competencia.",Tema: Adorni contra Maradona,https://radiocut.fm/audiocut/fernando-signorini-preparador-futbolistas-para-alta-competencia
57,tarde-con-carlos-polimeni-2,AM 530 - Somos Radio,AM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-14T18:55:45+00:00,230,AudiosDePrensa,12,,La declaración de Cristina Fernández de Kirchner en Comodoro Py: @juniojuancarlos en AM530,"Juan Carlos Junio, secretario general del Partido Solidario, dialogó con Carlos Polimeni sobre la declaración de la ex Presidenta por el atentado en su contra en la actual coyuntura política. En La tarde con Carlos Polimeni. Por AM530. ",https://radiocut.fm/audiocut/declaracion-cristina-fernandez-kirchner-en-comodo-py-columna-juniojuancarlos-en-am530
58,caballero-dia-3,AM 530 - Somos Radio,AM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-14T11:57:25+00:00,147,Isidora,8,,Los adultos mayores hablan con claridad 👏🏼👏🏼👏🏼,"Marcos Cittadini, en ""Caballero de día"", por la AM 530, nos comparte dos testimonios clarísimos de adultos mayores.",https://radiocut.fm/audiocut/adultos-mayores-hablan-con-claridad
59,marca-de-radio,La Red,AM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-10T13:05:37+00:00,1120,skay,622,"editorial, editorial de aliverti, eduardo aliverti, marca de radio",Editorial Eduardo Aliverti - Marca de Radio - 10/08/2024,"Es el triunfo del antipolítica, el dedo que acusa solo a un lado, el verso de la honestidad en manos de los corruptos más evidentes la transitoria. Confianza o resignación popular, depositada en Los Auténticos Verdugos populares, la Argentina sin embargo tiene mucha experiencia en la resistencia en los cuerpos más dinámicos de su sociedad. Eso sí, esta vez no se trata solo de la resistencia, construir otra cosa es más urgente que nunca! ",https://radiocut.fm/audiocut/editorial-eduardo-aliverti-marca-radio-10-08-2024
60,navarro-2023-1,El Destape 1070,AM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-13T14:37:36+00:00,2353,aliciafernandez,10,,Navarro dialoga con destacadas mujeres feministas ,"Navarro y Lu Espíndola entrevistan a Ivanna Szerman, Marta Dillon y Mónica Macha a raíz de la denuncia de Fabiola Yañez por violencia de género contra Alberto Fernández. Analizan la ofensiva contra el feminismo desde el gobierno de Milei y desatada ahora con fuerza a raíz de este hecho.",https://radiocut.fm/audiocut/navarro-dialoga-con-destacadas-mujeres-feministas
